H,K,L,Distance,2theta/TOF,Mult
0,0,2,2.5921,34.60437974746836,2
2,0,1,2.5861,34.68720745649477,4
0,2,0,2.3901,37.63407460168159,2
-1,0,2,2.3775,37.841081443706784,4
0,1,-2,2.2786,39.55038997945493,4
-2,-1,-1,2.2746,39.62284958511424,4
0,2,1,2.1705,41.60905535412109,4
-1,1,-2,2.1287,42.46523976074312,8
1,-2,-1,2.0398,44.41215743022065,8
-2,0,-2,1.9569,46.40096055833394,4
2,2,0,1.8654,48.82124893914697,1
3,0,-1,1.8572,49.05097594200122,4
3,1,0,1.8366,49.63810141531339,4
-2,1,-2,1.811,50.388370990894586,4
0,2,2,1.7571,52.047753396945524,4
-2,-2,1,1.7552,52.10832605753856,1
-3,1,-1,1.7312,52.88629868191185,8
0,0,3,1.7281,52.98855689441717,2
1,2,2,1.6856,54.433307882880044,4
1,0,3,1.6599,55.34766328296227,4
0,-1,3,1.6251,56.63838459681202,4
3,0,-2,1.5781,58.48558747322812,4
1,1,-3,1.568,58.899252431864106,1
1,3,0,1.5394,60.104892679461194,4
0,3,-1,1.523,60.8201152552317,4
2,-2,2,1.5141,61.215862115378535,4
3,1,-2,1.4985,61.922885636596384,8
2,0,3,1.4954,62.06545646426571,4
-4,0,0,1.492,62.2226293337803,2
-1,-3,-1,1.4757,62.988057825266665,4
-3,-2,1,1.4665,63.42900788632415,8
4,0,-1,1.4338,65.05116192336257,4
-2,1,-3,1.4272,65.38941085194504,8
0,2,3,1.4004,66.80262404058928,4
-4,1,-1,1.3733,68.30024092286585,8
-1,2,-3,1.3633,68.87137374921814,8
0,3,-2,1.3574,69.21322040501389,4
2,-3,1,1.3565,69.26569006070234,8
1,3,-2,1.3236,71.24494306722944,8
-3,2,-2,1.3169,71.66322980679492,8
3,0,-3,1.3046,72.44527082747665,4
0,0,-4,1.296,73.00326337641326,2
-4,0,-2,1.293,73.20013651837603,4
-2,2,-3,1.2677,74.90809566119762,8
-1,0,4,1.2665,74.9912928455552,4
4,2,0,1.2656,75.05382476472035,4
3,-1,3,1.2585,75.55120261761266,4
0,-1,4,1.2509,76.09175803815651,4
-4,1,2,1.2482,76.28586757391672,8
-3,3,0,1.2436,76.61911606491088,4
-2,3,2,1.2356,77.20645217155761,8
-4,-2,-1,1.2295,77.66107788734294,8
-1,-1,-4,1.2243,78.05336938229709,1
-3,-3,1,1.2093,79.21022861922307,1
0,4,0,1.195,80.3495473063477,2
2,0,-4,1.1887,80.86329230692982,4
0,-3,3,1.1714,82.31307114781859,4
0,-4,1,1.1645,82.90792339347092,4
-5,0,1,1.1631,83.02981476139807,4
-5,1,0,1.158,83.47732478323957,4
2,-1,-4,1.1536,83.86786296732768,8
-1,3,3,1.1494,84.2445697674076,4
-3,-2,3,1.1451,84.6342854385575,8
1,4,1,1.1429,84.83527949989963,4
0,-2,4,1.1393,85.16655595139754,4
-4,-2,-2,1.1373,85.3518878799292,4
5,-1,-1,1.1301,86.02685224699613,4
4,0,3,1.1293,86.10261001471976,4
-3,-3,2,1.1212,86.87844431089081,1
-1,2,-4,1.1191,87.08224066703362,8
-2,4,0,1.1093,88.04818489956058,4
4,-1,3,1.099,89.09077718622869,8
2,3,-3,1.0904,89.98376659292461,8
3,0,-4,1.0859,90.45949126350325,4
0,-4,-2,1.0852,90.53402729025085,4
2,-4,-1,1.0848,90.57668450220505,8
5,0,-2,1.0841,90.65144905746257,4
-1,4,-2,1.0677,92.44600192917035,8
4,-3,1,1.0658,92.65940418712188,8
-2,2,4,1.0643,92.82871370527887,8
3,1,-4,1.0589,93.44441641949294,8
5,1,-2,1.0573,93.6287352139243,8
-5,2,-1,1.0458,94.97978693219324,8
0,0,5,1.0368,96.07062779116879,2
1,0,-5,1.0215,97.99729220146668,4
4,2,-3,1.021,98.06186564003335,8
2,4,2,1.0199,98.20429820576902,4
0,1,5,1.0132,99.0830463091626,4
3,-3,-3,1.0094,99.59020187666137,4
