H,K,L,Distance,2theta/TOF,Mult
3,-11,-4,4.438,20.007063072989364,8
5,11,2,4.437,20.011618614401268,8
-9,9,-3,4.4342,20.02438523178337,8
4,-10,-6,4.4302,20.042651687220626,8
-6,-7,9,4.4288,20.049052863597268,8
9,2,-10,4.4284,20.050882526139187,8
-2,4,12,4.4283,20.05133999422859,8
-11,3,-8,4.4275,20.055000494506743,8
8,-10,0,4.4272,20.056373528506555,4
3,-9,-8,4.4253,20.06507380121885,8
12,-7,0,4.4222,20.079285284290073,4
2,-6,-11,4.4213,20.083414989991994,8
7,5,10,4.4211,20.084332934283157,8
-6,-8,-8,4.4202,20.08846472768389,4
11,-8,0,4.4183,20.09719301719898,4
0,-10,-7,4.4179,20.099031523490446,4
-4,-3,12,4.4174,20.101330131929256,8
10,8,4,4.4163,20.106388931379385,8
10,6,-7,4.4154,20.110529853389217,8
-8,-10,-1,4.414,20.116974696847763,8
-6,4,11,4.413,20.12158069943564,8
12,6,-4,4.4128,20.122502154403684,8
10,3,-9,4.4122,20.125267028420723,8
-8,-4,10,4.4113,20.12941577188988,8
12,7,1,4.4089,20.140487499067806,8
0,11,5,4.4086,20.141872325924904,4
1,-10,-7,4.4079,20.14510433321693,8
9,-6,8,4.4067,20.150647343734114,8
-5,-2,12,4.4053,20.15711806632753,8
11,-8,-1,4.4051,20.15804279632498,8
-9,-7,7,4.4029,20.168220458673144,8
1,11,-5,4.3987,20.187679259191885,8
7,-9,6,4.3964,20.198351273449525,8
4,8,9,4.3951,20.20438830067772,8
-7,-3,-11,4.3924,20.216938341510392,8
8,-9,-5,4.3923,20.217403458856335,8
-10,5,-8,4.3884,20.235559832548212,8
-10,-7,6,4.3854,20.249548598780926,8
5,5,11,4.3832,20.25981939154517,1
-8,0,11,4.3828,20.26168793389598,4
0,12,0,4.3818,20.26636080611983,2
-6,-11,0,4.3803,20.273374178845724,4
-6,-6,-10,4.3801,20.27430966394591,1
-3,4,12,4.3788,20.280392433390805,8
2,10,7,4.3784,20.282264793075182,8
-11,6,6,4.3782,20.283201103266318,4
4,-7,10,4.3775,20.286478873474827,8
-11,5,-7,4.3774,20.286947213307702,8
6,-10,-5,4.3765,20.291163250333522,8
8,-10,2,4.3748,20.299131684525907,8
-8,-7,8,4.3746,20.300069561059946,8
-1,12,0,4.3721,20.311800373693373,4
-3,6,-11,4.372,20.31226988972468,8
-5,11,3,4.3713,20.315557113086122,8
12,-7,2,4.3699,20.322134769956115,8
2,11,5,4.3694,20.324484971046967,8
0,12,1,4.3689,20.326835718719643,4
-4,-11,-4,4.3687,20.327776170874568,4
8,-1,11,4.3677,20.332479744335448,8
6,11,1,4.3675,20.333420721650853,8
11,-8,2,4.3662,20.339539209262828,8
7,-10,4,4.3661,20.34001001549994,8
10,9,0,4.3643,20.348488276545954,4
1,12,1,4.3593,20.372076330494878,4
-6,0,12,4.3588,20.374438160298837,4
4,-9,-8,4.3565,20.385309672969317,8
-6,-9,-7,4.3553,20.390986398426033,8
9,-5,9,4.3542,20.396192856601772,4
8,-6,-9,4.3528,20.40282312534673,8
-9,-3,10,4.3519,20.407087730103203,8
10,9,-1,4.3516,20.408509663375447,8
-11,0,-9,4.3444,20.442695932977863,4
6,1,12,4.3439,20.44507425609639,8
2,12,0,4.3433,20.447928978404814,4
-9,-9,4,4.3432,20.448404843386754,1
5,10,-6,4.3421,20.453640828357756,8
8,-8,-7,4.341,20.458879510099163,8
12,0,-8,4.3399,20.464120890706447,4
0,12,-2,4.331,20.506627940490073,4
2,12,1,4.3307,20.508063856001336,8
0,5,12,4.3306,20.508542539438398,4
-3,10,7,4.3305,20.509021245344755,8
5,3,12,4.33,20.511415111971797,8
11,1,9,4.3296,20.513330609883194,8
6,-11,-2,4.3295,20.51380954057011,8
12,-1,8,4.3252,20.53442485374276,8
11,7,5,4.3239,20.540665594644988,8
8,2,-11,4.3232,20.54402757370412,8
12,-5,6,4.3223,20.548351744581062,8
-3,11,-5,4.3218,20.55075485272523,8
-1,12,-2,4.3216,20.551716254240826,8
-1,-5,12,4.3212,20.553639328641903,8
-10,9,2,4.3141,20.587834219300117,8
4,-4,12,4.3121,20.59748724571906,8
-8,-10,3,4.3118,20.598935984799482,8
5,8,-9,4.309,20.61246743805097,8
0,-8,-10,4.3074,20.62020772616407,4
12,-7,-3,4.3071,20.621659680994814,8
4,6,11,4.3057,20.62843818974921,8
10,0,10,4.3051,20.631344636877326,4
-11,8,-3,4.3036,20.638614359054372,8
-7,7,-9,4.3033,20.64006892173179,8
-10,-8,5,4.3017,20.64783007263046,8
6,-2,12,4.3001,20.655597094997237,8
12,-6,5,4.2985,20.663369995534968,8
-1,8,10,4.2981,20.66531413992008,8
3,12,0,4.2965,20.673094397613028,4
7,-8,8,4.2954,20.67844674293868,8
0,-9,-9,4.2952,20.679420196073814,4
2,12,-2,4.2937,20.686724033356498,8
2,-5,12,4.2934,20.68818542343701,8
12,4,7,4.2927,20.691596141210592,8
-5,7,10,4.2925,20.692570839727296,8
-10,-1,-10,4.2908,20.70085950692494,4
7,-4,-11,4.2889,20.710131217006904,8
-11,2,-9,4.2862,20.72332118143631,8
-1,-9,9,4.286,20.72429888796978,8
-3,12,1,4.2844,20.73212388130126,8
5,-11,-4,4.2841,20.73359172913453,8
12,2,8,4.2819,20.744362336530237,8
6,-5,-11,4.2795,20.756124931445573,8
-8,5,-10,4.2779,20.76397411670708,8
5,9,8,4.2727,20.789525250134076,8
2,8,-10,4.2708,20.798877023014704,8
0,-11,6,4.2705,20.80035439222856,4
0,12,-3,4.2698,20.8038024080051,4
6,11,-3,4.2685,20.810208916777384,8
0,-7,11,4.2667,20.819086021053046,4
-4,-10,7,4.266,20.822540285505518,8
-9,-10,0,4.2654,20.825502001227832,4
1,11,-6,4.2615,20.844773825642942,8
1,12,3,4.2608,20.848236668636712,8
2,9,-9,4.2589,20.85764164910984,8
-7,11,0,4.2588,20.858136884478384,4
-7,-6,-10,4.2586,20.859127426171824,8
-4,11,-5,4.2577,20.863586034909634,8
-8,9,-6,4.2556,20.873996913594333,8
7,-10,-5,4.2553,20.8754850350307,8
10,-9,3,4.2536,20.883921755446615,8
-9,10,1,4.2535,20.884418246699397,8
8,-3,-11,4.2519,20.892365336833915,8
9,-4,-10,4.2512,20.895844101800044,8
10,2,10,4.2486,20.908775435761346,4
-3,12,-2,4.2485,20.90927311622033,8
-3,5,12,4.2482,20.910766300571826,8
7,11,-1,4.247,20.91674118342212,8
-6,10,-6,4.2412,20.945668260757294,4
-7,0,12,4.239,20.956661661705485,4
7,-9,-7,4.2358,20.97267279735576,8
-2,11,6,4.2348,20.977681324617873,8
-2,12,3,4.2342,20.98068759599801,8
-9,9,5,4.2341,20.981188725483047,8
4,12,0,4.2335,20.98419600808214,4
0,-10,-8,4.2315,20.994226548409543,4
2,7,11,4.2311,20.996233813928875,8
5,4,12,4.2308,20.99773951642671,8
6,3,12,4.23,21.001755785164892,8
10,-6,-8,4.2294,21.004769000936477,8
8,-10,-4,4.2281,21.011300619340425,8
-3,8,10,4.2263,21.02035114641434,8
10,-7,-7,4.226,21.021860330062662,4
-9,0,-11,4.2257,21.02336973168596,4
7,-1,12,4.2253,21.02538260633797,8
-5,-6,11,4.2247,21.028402645303974,8
12,-7,-4,4.2236,21.03394165034023,8
-1,10,-8,4.2227,21.03847574699988,8
4,12,-1,4.2219,21.04250770597765,8
-11,8,4,4.2203,21.050576288846106,8
-11,6,7,4.2195,21.05461291454674,8
9,-10,2,4.2185,21.05966088685201,8
-9,7,8,4.2183,21.06067077347867,8
11,3,9,4.2168,21.068248029471967,8
3,-9,-9,4.2148,21.07835957220253,4
12,3,-8,4.2127,21.08898720407884,8
7,-11,2,4.2121,21.09202565045691,8
-6,-8,9,4.2104,21.10063936616941,8
12,8,0,4.2047,21.12957236054881,4
-9,-6,-9,4.1987,21.160114489750537,4
-2,-10,8,4.1968,21.16980468745247,8
11,-5,8,4.1959,21.174397897643278,8
-6,7,-10,4.1949,21.179503816474654,8
-11,-7,-6,4.1933,21.187678440542584,8
-3,11,6,4.1914,21.197394054543658,8
3,12,3,4.1908,21.200464005471712,4
0,12,-4,4.1884,21.21275275890961,4
9,-8,7,4.1881,21.21428986074552,8
-3,7,-11,4.1879,21.21531471979297,8
-4,12,2,4.1876,21.21685219513592,8
4,-5,12,4.1873,21.218389894648833,8
6,-11,4,4.1872,21.218902510977202,8
7,-2,12,4.185,21.230186376954563,8
10,5,9,4.1829,21.24096860698869,8
10,-3,10,4.1809,21.251247644714127,4
-1,12,4,4.1799,21.25639091724106,8
-5,11,5,4.1793,21.259478082988945,8
0,-6,12,4.1775,21.268744994782825,4
6,-9,8,4.1765,21.27389679146816,8
11,9,0,4.1749,21.282144890151482,4
10,-9,-4,4.1732,21.290915547281344,8
-10,-8,6,4.1731,21.291431694754046,8
9,2,11,4.1721,21.29659455438508,8
8,7,-9,4.171,21.30227660984815,8
12,-6,6,4.1701,21.306927833418282,8
12,-5,-7,4.1694,21.310546864571315,8
-1,6,12,4.1691,21.312098256533307,8
-4,8,10,4.1663,21.32658887954394,8
7,-5,-11,4.166,21.328142622065855,8
8,8,8,4.1638,21.339543696438454,1
-11,-9,1,4.1637,21.340062218438888,8
-9,-10,-3,4.1619,21.349399951021574,8
12,-8,2,4.1597,21.3608239049888,8
8,4,11,4.1578,21.370699949140594,8
-5,12,0,4.1564,21.37798291487473,4
7,11,3,4.1558,21.38110571479207,8
-4,-9,-9,4.1553,21.383708749228756,4
-2,12,4,4.1547,21.386833232311993,8
-3,10,-8,4.1545,21.3878749308013,8
5,12,-1,4.1454,21.43538044719401,8
-2,-6,12,4.1441,21.442184285847603,8
12,0,-9,4.1408,21.459475099419574,4
-6,4,12,4.1373,21.47784452395481,8
-4,-11,6,4.1328,21.501508896531274,8
-4,12,3,4.1323,21.50414151008728,8
6,-6,-11,4.1316,21.50782825884875,8
9,5,10,4.1314,21.508881849243732,8
11,-9,-2,4.1308,21.51204324360971,8
-7,-10,-6,4.1307,21.51257023357155,8
-8,11,0,4.1304,21.514151359325748,4
-8,-6,-10,4.1302,21.51520557307176,8
-4,-7,-11,4.1295,21.51889613985868,8
12,-1,-9,4.128,21.52680878811514,8
-8,-10,-5,4.1272,21.531031261443832,8
11,4,9,4.1249,21.54318016061385,8
12,-7,-5,4.1231,21.552697620479172,8
11,0,-10,4.123,21.553226616325016,4
0,11,-7,4.1228,21.55428468639723,4
12,4,8,4.1211,21.563282503593516,8
-7,-3,12,4.1202,21.56804911436306,8
-11,8,-5,4.12,21.56910864913935,8
8,-11,-1,4.1196,21.571228032923965,8
1,11,7,4.1147,21.597224533369836,8
-3,12,4,4.1138,21.602006255270886,8
5,12,-2,4.113,21.606258463513804,8
5,5,12,4.1126,21.608385199298,1
8,0,12,4.1124,21.609448725160856,4
-9,-9,-6,4.1113,21.615300000688954,1
11,1,10,4.1104,21.62008977980434,8
8,9,7,4.1095,21.62488169514169,8
-9,-3,-11,4.108,21.63287297177088,8
12,8,3,4.1055,21.64620497969938,8
-10,-10,0,4.104,21.65421212347054,1
3,-6,12,4.1034,21.657416650086898,8
7,-8,9,4.1022,21.663828567005858,8
-8,-1,12,4.0999,21.676128757904046,8
4,10,8,4.0975,21.68897873192767,8
-6,-10,-7,4.0965,21.694337413144428,8
10,-10,-1,4.0934,21.710966269354234,8
5,-8,-10,4.0928,21.71418772074636,8
10,4,-10,4.0913,21.722245559092006,8
2,11,-7,4.0907,21.725470379515386,8
12,2,-9,4.0904,21.72708315103386,8
0,12,-5,4.0903,21.727620795080362,4
6,-11,5,4.0891,21.734074612548923,8
-8,-11,-2,4.0878,21.74107060287354,8
-9,10,-4,4.0864,21.748609816144082,8
-1,12,-5,4.0824,21.770179444753573,8
5,9,-9,4.0823,21.770719237058024,8
0,9,-10,4.0809,21.778279158435783,4
-7,-11,-4,4.0806,21.779899828969675,8
-11,-9,-3,4.0777,21.79557883290653,8
10,-9,-5,4.0761,21.804239044992972,8
11,-2,-10,4.0732,21.819953342699502,8
-1,-9,-10,4.073,21.8210379275374,8
7,9,8,4.0707,21.833518455653238,8
0,8,-11,4.0704,21.835147409794544,4
10,0,-11,4.0685,21.845469801854506,4
6,12,0,4.0677,21.849819010826103,4
8,2,12,4.063,21.875405847527656,8
1,-8,-11,4.0626,21.877586235345717,8
-10,-10,-2,4.0621,21.880312335257248,1
10,7,8,4.062,21.880857637278773,8
5,11,-6,4.061,21.886312162154095,8
5,12,3,4.0605,21.889040450910706,8
2,12,-5,4.0589,21.897775576440797,8
-4,12,4,4.0584,21.90050674208492,8
5,-7,11,4.0578,21.903785045936306,8
-6,12,-1,4.0574,21.90597113057752,8
10,1,11,4.0564,21.91143826374236,8
11,-6,-8,4.0563,21.911985128095942,8
-11,-7,7,4.0533,21.928403841445814,8
3,11,7,4.0515,21.93826695976127,8
2,-9,-10,4.0497,21.948139010706925,8
-4,6,12,4.0484,21.95527438749686,8
0,-10,-9,4.0464,21.966261011362345,4
8,-5,-11,4.0456,21.970658759775358,8
10,-6,-9,4.0445,21.976708558055414,8
2,8,11,4.0395,22.004249951234613,8
1,10,9,4.0387,22.008663022101956,8
-8,-11,3,4.0363,22.021912929420985,8
10,-8,7,4.035,22.029096668335995,8
9,-7,-9,4.0348,22.030202277593038,8
-7,4,12,4.0345,22.031860900901727,8
12,-8,4,4.033,22.040157788978725,8
12,-6,7,4.0323,22.044031822620052,8
12,-3,9,4.0299,22.05732463512768,8
-7,6,-11,4.0292,22.061204745052923,8
-9,8,-8,4.0283,22.066195476936798,8
-5,-10,8,4.0275,22.07063359117058,8
6,12,2,4.0269,22.073963356077762,8
6,5,12,4.0266,22.075628617734285,8
9,-4,11,4.0229,22.096187655146846,8
3,12,-5,4.0207,22.108430227737347,8
2,-10,-9,4.016,22.13463061030371,8
-11,5,-9,4.0152,22.139096475523324,8
11,3,10,4.0134,22.149151306432728,8
8,10,-6,4.0132,22.15026907729558,8
-3,9,10,4.0117,22.15865597936093,8
-10,10,-3,4.0116,22.159215333444376,8
12,-7,6,4.0094,22.171528317969237,8
-1,-7,12,4.0085,22.176569418283034,8
6,8,-10,4.008,22.17937102661414,8
-11,9,-4,4.0066,22.187219321431066,8
-8,3,12,4.0037,22.20349429980327,8
-3,-8,-11,4.0018,22.21417025273713,8
4,-11,-7,3.9986,22.232174180632764,8
6,9,-9,3.9982,22.23442673708239,8
9,-11,0,3.9981,22.234989947980353,4
-9,-6,-10,3.9979,22.23611645593439,8
7,10,7,3.9966,22.24344155892515,4
9,10,5,3.9952,22.2513355656128,8
12,-9,0,3.9933,22.262057884988202,4
-5,12,4,3.9903,22.27900905534324,8
-7,11,5,3.9897,22.282402407803417,8
9,-11,-1,3.9883,22.290324277766896,8
-8,8,9,3.9871,22.297118965869934,8
2,-7,12,3.9863,22.301651074758745,8
10,5,-10,3.9842,22.31355668830053,8
12,9,-1,3.9835,22.31752806988422,8
-9,0,12,3.9817,22.327746730683717,4
5,6,12,3.9809,22.332291381696542,8
0,12,6,3.9793,22.341386272521454,4
-9,9,-7,3.9791,22.342523658175836,8
-3,-10,-9,3.9789,22.343661160401716,8
-6,-11,-6,3.9782,22.34764333645331,4
-6,12,3,3.9777,22.35048862276893,8
