No.,H,K,L,Mult,2theta/,Ints/
1,1,1,-3,1,30.138843591489398,0.00018122110154773533
2,-2,-2,1,1,30.139884150456464,1.1073582740306671
3,0,2,2,4,30.65973889291777,610.9646465454929
4,3,1,-2,4,30.90736345307878,8.407782295684472
5,2,2,1,1,31.67171451116441,0.3494448191931955
6,1,-1,3,4,32.41256161025175,0.00021874035607932687
7,4,0,-1,2,32.726706719952105,0.6383269485656454
8,-4,0,0,2,32.85013626359573,349.97995822723595
9,2,2,-2,1,33.492041757214835,1.2913983523479706
10,2,0,3,2,34.27840110616805,0.11055600125168238
11,4,0,-2,2,35.18706596845183,435.2892616253117
12,3,-1,2,4,35.23414423679001,0.885041940641053
13,4,0,1,2,35.53240163682811,0.5091650472886038
14,2,-2,2,4,36.24419182808354,4.153070984125009
15,3,-1,-3,4,36.34586188730401,0.0001340860362351363
16,0,0,-4,2,36.97459912391292,248.90423738397539
17,0,2,3,4,37.12175329467863,1.823464274897195
18,1,3,0,4,37.94545840715324,0.6452575298474202
19,2,0,-4,2,38.15094442368717,315.3181449608715
20,1,1,-4,1,38.71537059992603,0.15672895826403008
21,1,-3,-1,4,38.78994881487581,0.00012995463074262664
22,-2,2,3,4,38.924231561929886,0.813126652279532
23,-1,-3,-1,4,39.41346023255022,3.301176524028296e-05
24,4,0,-3,2,39.810688340625134,1.0401221910116685
25,-4,0,-2,2,40.32876439627385,295.3479614556953
26,-1,-1,-4,1,41.16659636667743,0.12756127752870228
27,4,-2,-1,4,41.25904668650762,1.3812115967924397
28,4,2,0,4,41.35984746712843,497.48090238010144
29,1,3,-2,4,41.82483498381878,2.493007085925018
30,3,-1,3,4,41.95703973580829,0.0001372156798598855
31,-2,2,-3,4,42.54277097805574,0.014799840363528978
32,5,-1,-1,4,42.91558142761699,0.00041671237455563295
33,-1,-3,-2,4,42.99266585894084,1.2350225202415128
34,3,1,-4,4,43.29951393682747,14.373789375234276
35,4,2,-2,4,43.30169078930628,47.27237405003307
36,-4,-2,-1,4,43.59102232960101,1.208552676289602
37,5,1,-2,4,44.617227950966814,0.558310096024322
38,0,-2,4,4,44.814909352570375,430.89674834998755
39,-3,3,0,4,44.87573716089427,0.3980235746715277
40,-3,-3,1,1,45.05924468937678,2.7519055729529578e-05
