Sn,Bi,In,Ti
95.4,1.5,1.5,0.1
95.3,1.5,1.5,0.2
95.2,1.5,1.5,0.30000000000000004
95.1,1.5,1.5,0.4
95.0,1.5,1.5,0.5
94.9,1.5,1.5,0.6
94.8,1.5,1.5,0.7000000000000001
95.30000000000001,1.6,1.5,0.1
95.2,1.6,1.5,0.2
95.10000000000001,1.6,1.5,0.30000000000000004
95.0,1.6,1.5,0.4
94.9,1.6,1.5,0.5
94.80000000000001,1.6,1.5,0.6
94.7,1.6,1.5,0.7000000000000001
95.2,1.7000000000000002,1.5,0.1
95.1,1.7000000000000002,1.5,0.2
95.0,1.7000000000000002,1.5,0.30000000000000004
94.89999999999999,1.7000000000000002,1.5,0.4
94.8,1.7000000000000002,1.5,0.5
94.7,1.7000000000000002,1.5,0.6
94.6,1.7000000000000002,1.5,0.7000000000000001
95.10000000000001,1.8000000000000003,1.5,0.1
95.0,1.8000000000000003,1.5,0.2
94.9,1.8000000000000003,1.5,0.30000000000000004
94.8,1.8000000000000003,1.5,0.4
94.7,1.8000000000000003,1.5,0.5
94.60000000000001,1.8000000000000003,1.5,0.6
94.5,1.8000000000000003,1.5,0.7000000000000001
95.0,1.9000000000000004,1.5,0.1
94.89999999999999,1.9000000000000004,1.5,0.2
94.8,1.9000000000000004,1.5,0.30000000000000004
94.69999999999999,1.9000000000000004,1.5,0.4
94.6,1.9000000000000004,1.5,0.5
94.5,1.9000000000000004,1.5,0.6
94.39999999999999,1.9000000000000004,1.5,0.7000000000000001
94.9,2.0000000000000004,1.5,0.1
94.8,2.0000000000000004,1.5,0.2
94.7,2.0000000000000004,1.5,0.30000000000000004
94.6,2.0000000000000004,1.5,0.4
94.5,2.0000000000000004,1.5,0.5
94.4,2.0000000000000004,1.5,0.6
94.3,2.0000000000000004,1.5,0.7000000000000001
94.80000000000001,2.1000000000000005,1.5,0.1
94.7,2.1000000000000005,1.5,0.2
94.60000000000001,2.1000000000000005,1.5,0.30000000000000004
94.5,2.1000000000000005,1.5,0.4
94.4,2.1000000000000005,1.5,0.5
94.30000000000001,2.1000000000000005,1.5,0.6
94.2,2.1000000000000005,1.5,0.7000000000000001
94.7,2.2000000000000006,1.5,0.1
94.6,2.2000000000000006,1.5,0.2
94.5,2.2000000000000006,1.5,0.30000000000000004
