H,K,L,Distance,2theta/TOF,Mult
1,-3,-6,1.3593,69.10273350713045,4
-3,-5,0,1.3528,69.48230789334758,4
-3,5,1,1.3505,69.61770454176627,4
3,-1,-7,1.346,69.8842744373937,4
3,3,5,1.345,69.94381352280243,1
-6,-2,5,1.3414,70.15906987574394,4
4,4,-4,1.3378,70.37577137826509,1
8,0,-3,1.3316,70.75241372190187,2
0,-4,5,1.3297,70.8687167068511,4
-1,5,3,1.3296,70.8748494535772,4
2,-4,-5,1.3241,71.213941050773,4
3,5,-2,1.323,71.28218436383081,4
7,-3,-1,1.3224,71.31946814666858,4
3,3,-6,1.3201,71.46278434134068,1
1,3,6,1.3178,71.60673054536969,4
-6,0,6,1.3137,71.86490713958739,2
-7,3,0,1.3114,72.01063061611634,4
-1,5,-3,1.3097,72.11875520463059,4
7,-3,-2,1.3093,72.14424790409731,4
-4,0,-6,1.308,72.22723547777971,2
2,2,-7,1.3056,72.38099337063169,1
2,0,7,1.2994,72.78153928444647,2
0,2,7,1.2981,72.86614161738055,4
7,-1,-5,1.2974,72.91178608465215,4
-6,4,1,1.294,73.13438281729404,4
-8,-2,1,1.29,73.39817862785536,4
6,4,0,1.2868,73.61072500620303,4
3,5,2,1.2846,73.75763714916532,4
5,3,4,1.2839,73.80451722074378,4
-8,-2,2,1.2808,74.01291931686868,4
6,4,-2,1.2787,74.15483238448223,4
7,-3,1,1.278,74.20226997299538,4
-8,2,0,1.2768,74.28374722960218,4
-8,0,4,1.2752,74.39269065892455,2
-3,5,3,1.2746,74.43363527028325,4
-7,3,3,1.2741,74.46779373812815,4
-6,-2,-4,1.2736,74.50198677550654,4
-8,0,-2,1.2632,75.22114108198757,2
-2,-4,-5,1.2617,75.32613305067645,4
-6,4,-1,1.258,75.58650420611285,4
1,-5,-4,1.2532,75.92726676574466,4
-8,-2,3,1.2507,76.10609896566103,4
4,4,-5,1.2477,76.32193438704286,1
5,-1,-7,1.2441,76.5827368938855,4
6,-4,-3,1.2431,76.65553363828283,4
4,4,4,1.2392,76.9409163339985,1
6,0,5,1.2368,77.11771393685457,2
-6,-2,6,1.2359,77.18424631474383,4
1,5,4,1.231,77.54873237073939,4
7,-3,2,1.227,77.84912919338716,4
-3,-5,-3,1.2239,78.08372898351871,4
-7,3,4,1.2219,78.23592349309266,4
-3,1,-7,1.2187,78.48081871108963,4
-5,3,6,1.2183,78.51155120797078,4
1,-3,-7,1.2164,78.65789902424054,4
0,0,8,1.2156,78.71970197587451,2
5,5,-1,1.2153,78.74290611706519,1
0,-6,0,1.2146,78.79710871262839,2
-3,5,4,1.2119,79.0069610706788,4
5,5,0,1.2118,79.0147574342095,1
0,4,6,1.2109,79.08500237926812,4
9,-1,-1,1.2087,79.25730319448009,4
-8,0,5,1.2065,79.43044836359375,2
0,6,-1,1.2053,79.52524957871454,4
8,-2,-4,1.2037,79.65204721807093,4
-5,-5,2,1.2001,79.9390101648296,1
5,1,6,1.1983,80.08336558510273,4
-6,0,7,1.1956,80.30100249476384,2
9,-1,0,1.1953,80.32526663909825,4
3,1,-8,1.1936,80.46307611979638,4
-8,-2,-2,1.1935,80.47119915740377,4
3,3,-7,1.193,80.511842090192,1
6,-4,-4,1.192,80.5932669666032,4
-5,-5,-1,1.1902,80.74030081986992,1
2,6,0,1.1856,81.11882049096613,4
2,-6,-1,1.1816,81.45124485605842,4
-9,1,3,1.1809,81.5097363600594,4
4,0,-8,1.1794,81.63539611488702,2
0,6,2,1.1784,81.71941336131513,4
1,-1,8,1.1727,82.20208115434217,4
-2,-6,-1,1.1722,82.24472937442732,4
1,5,-5,1.1712,82.3301767513358,4
5,-5,-3,1.1682,82.58773373741857,4
-4,0,-7,1.1676,82.63946517371485,2
9,-1,1,1.1652,82.84713038190068,4
-7,3,-3,1.1646,82.8992324587935,4
-2,-2,8,1.1629,83.04726115361507,1
-2,6,2,1.1607,83.23972445068904,4
7,3,-5,1.1588,83.40676346002327,4
4,4,-6,1.1569,83.57456945630094,1
-3,5,-4,1.1545,83.78764070377555,4
-6,4,-3,1.1538,83.85002062223403,4
-5,5,-2,1.1531,83.91250684301617,4
2,0,8,1.1496,84.2265434910522,2
1,-5,5,1.1486,84.31676335116822,4
8,2,-5,1.1454,84.60696179715895,4
9,1,-4,1.1432,84.80780669004626,4
-2,6,-2,1.1431,84.81696202267706,4
-3,-5,5,1.1415,84.96375677483542,4
0,6,3,1.1374,85.3425992344347,4
6,2,-7,1.136,85.47285249190796,4
8,2,3,1.1338,85.6784644129515,4
-8,0,6,1.1321,85.83812943093422,2
-6,4,5,1.1311,85.93237122786472,4
6,0,6,1.127,86.32127516169953,4
2,-6,-3,1.1256,86.45500581283255,4
-5,-1,8,1.1249,86.522051132118,4
5,5,-4,1.1234,86.66612591900419,1
4,-2,-8,1.1221,86.79144119088133,4
7,-1,5,1.1206,86.9365588608036,4
-5,-3,7,1.1203,86.96564996843193,4
8,0,4,1.1182,87.16992213730488,2
4,2,7,1.1119,87.78948890197387,4
-4,6,1,1.1102,87.95843535562075,4
-4,6,0,1.1095,88.02822210235509,4
2,-4,-7,1.1093,88.04818489956058,4
5,-5,3,1.1047,88.5102647589451,4
-10,0,1,1.1026,88.72310515835137,2
-3,-3,-7,1.1017,88.8146896829628,1
2,6,3,1.1016,88.82487940830919,4
-10,0,2,1.1007,88.91671031035507,2
8,4,-1,1.0997,89.01900592957692,4
4,-6,-2,1.0966,89.33788416913978,4
-2,-2,-8,1.0964,89.35854907578191,1
9,-1,-5,1.0948,89.5242734604524,4
-4,-6,-1,1.0947,89.53465522165885,4
-9,3,1,1.0943,89.57621058220478,4
8,4,-2,1.094,89.60740687250238,4
2,0,-9,1.0923,89.78466971253529,2
-8,4,0,1.0915,89.86837343726519,4
-3,-1,-8,1.0907,89.95226113131008,4
7,-3,-6,1.0905,89.9732618842742,4
-1,-5,6,1.0895,90.07843919043863,4
-5,3,-6,1.0866,90.38510001665618,4
0,6,-4,1.0865,90.3957184925486,4
5,1,7,1.0857,90.48077247574126,4
-10,0,3,1.085,90.55534996043778,2
-9,3,0,1.0843,90.63007287220142,4
-3,-3,8,1.083,90.76923155052641,1
3,5,5,1.082,90.8766212382982,4
-8,-2,6,1.0812,90.9627498230238,4
0,0,-9,1.0805,91.03827110418007,2
-2,-6,4,1.0799,91.10312198893175,4
-1,1,9,1.0797,91.12476329016415,4
-6,2,-6,1.0766,91.4617699203258,4
-8,4,3,1.075,91.63686988522979,4
-9,-3,3,1.0735,91.8017516228927,4
-4,-6,3,1.0703,92.15587133591988,4
5,5,-5,1.0702,92.16699005196617,1
3,-5,-6,1.069,92.30066463547344,4
1,-5,6,1.0677,92.44600192917035,4
1,3,8,1.0674,92.47961894708511,4
4,-6,2,1.0673,92.49083110903801,4
-10,0,-1,1.0658,92.65940418712188,2
6,4,-6,1.0656,92.68193611330713,4
7,5,0,1.0643,92.82871370527887,4
-7,-5,2,1.0632,92.95334543609987,4
4,-4,6,1.0625,93.03286543139015,4
-9,-3,-1,1.0617,93.12394528546659,4
-2,-4,-7,1.0579,93.5595133487205,4
-8,0,7,1.0573,93.6287352139243,2
-10,2,1,1.0553,93.86036725249404,4
-10,2,2,1.0537,94.04666898239681,4
2,-6,4,1.0519,94.25732715638777,4
5,5,4,1.0495,94.53998363671266,1
-1,1,-9,1.0484,94.67022057900371,4
7,5,1,1.0463,94.92006460456821,4
-9,3,4,1.045,95.07553237105837,4
-6,-2,8,1.0448,95.09950531618841,4
8,4,-4,1.0447,95.11149728780553,4
-7,5,3,1.0441,95.18352623346846,4
-8,0,-5,1.0437,95.23161912520717,2
10,2,-3,1.0399,95.69146457467916,4
8,4,2,1.0381,95.91117872983146,4
-1,-7,0,1.0364,96.11981926022222,4
0,2,-9,1.0359,96.18139513416041,4
-7,-1,-6,1.0354,96.24306741925902,4
-4,-6,4,1.034,96.41626509516429,4
-1,7,1,1.0321,96.65254260023893,4
5,3,-8,1.0309,96.8025027609934,4
-4,6,-3,1.0302,96.8902432648855,4
1,7,1,1.029,97.04111043321602,4
-9,-3,-2,1.0288,97.06631105328631,4
-7,1,8,1.0282,97.14200944920623,4
2,-6,-5,1.0276,97.21785304796963,4
6,4,5,1.0233,97.76569456154614,4
5,1,-9,1.023,97.80420033546795,4
-7,3,7,1.0216,97.98439011817297,4
-10,0,5,1.0202,98.16540223652794,2
-4,-2,9,1.0193,98.28220466677865,4
-7,-5,-2,1.0177,98.49070554840692,4
-1,7,2,1.0166,98.6346872574522,4
-8,2,7,1.0154,98.79235524303431,4
-7,5,4,1.0148,98.8714242515956,4
-9,1,-4,1.0137,99.01679346574218,4
-6,-6,1,1.0134,99.05653193890609,1
-5,-5,6,1.0127,99.14940958705022,1
-1,-5,7,1.0117,99.2824688268858,4
0,4,-8,1.0112,99.34916548346972,4
-1,7,-2,1.0106,99.42934910965496,4
6,6,0,1.0099,99.52310100425402,1
-9,-3,5,1.0076,99.83270404461283,4
