H,K,L,Distance,2theta/TOF,Mult
0,-1,3,2.9618,30.174263446360015,4
-1,2,2,2.8839,31.00953549980549,4
-2,-1,3,2.7703,32.3151924945465,4
1,2,2,2.7546,32.50446304582351,4
-3,0,-2,2.7186,32.94706913096321,2
3,0,-3,2.6275,34.123762915691245,2
3,2,0,2.5736,34.86106645000495,4
-4,1,1,2.5617,35.02823479323053,4
-3,-2,1,2.5574,35.0890418669427,4
4,-1,0,2.5536,35.142957333671994,4
-2,1,-3,2.4621,36.49408937888131,4
-1,0,4,2.4541,36.617268643619745,2
0,3,0,2.4293,37.00456616847948,2
3,-2,1,2.4238,37.091592592275305,4
-4,1,2,2.4074,37.35358423429945,4
-4,1,-1,2.3871,37.683152177280974,4
3,2,-2,2.384,37.73400299941917,4
0,3,-1,2.3569,38.18457161752419,4
-1,2,-3,2.3091,39.006664038653156,4
0,-1,4,2.3062,39.05770477075852,4
-1,0,-4,2.2993,39.17969680188921,2
-3,0,-3,2.254,40.00035690771822,4
2,-1,-4,2.2443,40.18067449810552,4
-2,3,0,2.219,40.65890924016097,4
-5,0,1,2.2015,40.99657964773481,2
2,-3,-1,2.1933,41.15678618912709,4
-5,0,0,2.1811,41.39752981121066,2
-3,2,-2,2.179,41.439260636346724,4
0,3,-2,2.1731,41.55696699154136,4
4,-1,-3,2.1624,41.77219186284968,4
-4,1,-2,2.138,42.27163785324581,4
2,-3,1,2.1347,42.340127729129826,4
-3,-2,3,2.1312,42.413017693067104,4
5,0,-2,2.1147,42.760138976639325,2
-2,3,2,2.068,43.77499364935815,4
-5,0,-1,2.0619,43.91122217075066,2
-1,2,4,2.0355,44.51099378910957,4
-2,-1,-4,2.0213,44.84062347120773,4
2,3,2,1.9728,46.00540346494257,4
1,0,-5,1.9675,46.136480973000914,2
5,0,-3,1.9535,46.486457462979985,2
-1,2,-4,1.9445,46.71434995124985,4
0,-3,3,1.944,46.72707827595041,4
3,2,3,1.9169,47.42783320678015,4
-4,1,4,1.9023,47.81444039718014,4
3,0,4,1.8914,48.1073475957444,2
2,3,-3,1.8867,48.23479549125652,4
5,0,2,1.8852,48.27561752926613,2
-5,-2,1,1.8843,48.30014508210768,4
0,1,5,1.8792,48.43962310436018,4
4,-1,3,1.8791,48.44236630054949,4
-3,-2,4,1.8715,48.65179431842649,4
1,0,5,1.866,48.804527094076676,2
2,-1,-5,1.8636,48.87148574144804,4
-3,0,5,1.8358,49.661196500772114,2
5,2,-2,1.829,49.858408252200555,4
-4,3,1,1.8167,50.219288643386996,4
4,3,0,1.8137,50.308132269507084,4
-1,4,0,1.797,50.808722879247505,4
-5,2,-1,1.7945,50.88455364007146,4
6,-1,-1,1.7824,51.25492447612049,4
2,-3,3,1.7801,51.3259605106871,4
