,x,true_y,noise,1-th_obs.,2-th_obs.,3-th_obs.,4-th_obs.,5-th_obs.,estimated_mu,estimated_std
0,10.1000,8.5294,0.0045,8.4655,8.4952,8.5226,8.4907,8.4754,8.4899,0.0004
1,7.8000,3.4540,0.0109,3.5846,3.5438,3.2930,3.3875,3.3284,3.4275,0.0135
2,7.0000,3.6530,0.0100,3.6021,3.6756,3.8214,3.6860,3.4615,3.6493,0.0138
3,6.4000,3.9800,0.0088,4.1602,4.1630,3.9568,3.9014,3.9983,4.0359,0.0115
4,10.6000,11.8076,0.0081,11.8713,11.8894,11.7000,11.8931,11.9094,11.8526,0.0060
5,8.3000,3.6320,0.0066,3.5662,3.5172,3.6988,3.5748,3.5925,3.5899,0.0036
6,7.9000,3.4655,0.0049,3.3727,3.4605,3.4326,3.5418,3.5568,3.4729,0.0047
