,x,true_y,1-th_obs.,2-th_obs.,3-th_obs.,4-th_obs.,5-th_obs.,estimated_mu,estimated_std
0,8.4000,3.7089,5.8942,3.6566,3.8404,3.4380,4.0704,4.1799,0.8821
1,8.3000,3.6320,3.3802,3.2500,3.8453,3.6229,3.3300,3.4857,0.2187
2,7.5000,3.4766,4.4534,3.4189,2.8480,4.0752,3.8980,3.7387,0.5559
3,6.4000,3.9800,4.4063,4.1675,3.2161,4.4112,4.6187,4.1640,0.4950
4,7.8000,3.4540,3.0593,3.6538,4.1943,3.3603,3.3962,3.5328,0.3808
5,7.8000,3.4540,2.2130,2.8797,3.6765,3.3994,3.1110,3.0559,0.4995
6,7.5000,3.4766,2.5051,3.8757,3.2755,2.9038,2.9787,3.1078,0.4559
