,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.6000,3.9482,0.1435,4.0076,3.8278,3.7391,4.1317,4.0349
13,8.4000,3.6346,0.2603,3.3161,3.8903,3.4230,3.9833,3.5601
14,8.2000,4.0976,0.3331,3.9920,3.6919,4.6360,4.2949,3.8732
15,8.2000,3.7135,0.1618,3.5326,3.6774,3.8274,3.9633,3.5668
16,8.2000,4.0482,0.5394,3.8519,3.2831,4.8705,3.8485,4.3870
17,7.7000,2.8726,0.6188,3.8022,3.1830,2.6657,1.9218,2.7900
