,x,true_y,1-th_obs.,2-th_obs.,3-th_obs.,4-th_obs.,5-th_obs.,estimated_mu,estimated_std
0,2.2000,4.4149,3.6548,4.8805,4.0216,4.6381,4.3388,4.3067,0.4351
1,8.4000,3.7089,3.0111,4.1393,4.3500,3.9909,3.1768,3.7336,0.5372
2,8.2000,3.5702,3.1866,1.9279,2.7118,4.4115,4.3955,3.3267,0.9668
3,7.9000,3.4655,2.6243,3.9335,2.8245,2.8084,3.2768,3.0935,0.4718
4,7.7000,3.4526,2.2578,3.0124,2.9112,3.3042,3.1836,2.9338,0.3642
5,7.5000,3.4766,2.5670,4.1857,4.6091,3.2605,1.8132,3.2871,1.0244
6,7.5000,3.4766,3.3158,3.1358,4.4621,2.9596,3.4540,3.4655,0.5254
7,7.5000,3.4766,2.8303,3.8423,3.1012,4.3308,3.5700,3.5349,0.5317
